group1,group2,weight
blacktivist,blackstagram,0.5141129032258065
blacktivist,woke blacks,0.6592741935483871
blacktivist,bernie sanders for president,0.25
blacktivist,black baptist church,0.45954301075268816
bm,rebeltexas,0.0
bm,black baptist church,0.530241935483871
bm,pray4police,0.25201612903225806
bm,baltimore.blackvoice,0.25
bm,muslim voice,0.0
bm,black excellence,0.5463709677419355
bm,stop a.l.,0.0
bm,angry eagle,0.0
bm,watch the police,0.5120967741935484
bm,musliminst,0.25
bm,born liberal,0.38008415147265073
bm,blacks go viral,0.5020161290322581
bm,heart of texas,0.011820050600885515
bm,south united,0.0
bm,pan-african roots move,0.625
bm,williams&kalvin,0.8208394428152492
bm,gov spending,0.5060483870967742
bm,mericanfury,0.0
bm,army of jesus,0.0
bm,born black,0.5120967741935484
bm,american.veterans,0.031427893738140415
bm,black guns matter,0.5463709677419355
bm,united muslims of america,0.0
bm,instagnan,0.12701612903225806
bm,patriot's heart,0.25
bm,blacktivist,1.0
bm,secured borders,0.0
bm,l for life,0.25
bm,blackstagram,0.5141129032258065
bm,veterans come first,0.0
bm,southern.rebel.pride,0.08534946236559139
bm,being patriotic,0.011820050600885515
bm,woke blacks,0.6592741935483871
bm,bernie sanders for president,0.25
heart of texas,rebeltexas,0.5098039215686274
heart of texas,instagnan,0.5392156862745098
heart of texas,patriot's heart,0.25
heart of texas,mericanfury,0.5294117647058824
heart of texas,secured borders,0.1642156862745098
heart of texas,south united,0.6372549019607843
heart of texas,veterans come first,0.6568627450980392
heart of texas,williams&kalvin,0.0
heart of texas,l for life,0.25
heart of texas,gov spending,0.1764705882352941
heart of texas,black baptist church,0.043137254901960784
heart of texas,southern.rebel.pride,0.46568627450980393
heart of texas,being patriotic,1.0
heart of texas,army of jesus,0.6274509803921569
heart of texas,muslim voice,0.10980392156862745
south united,rebeltexas,0.5357142857142857
south united,instagnan,0.6428571428571428
south united,southern.rebel.pride,0.47619047619047616
south united,black baptist church,0.0
south united,secured borders,0.26785714285714285
south united,gov spending,0.0
south united,veterans come first,0.9375
south united,mericanfury,0.6071428571428571
south united,being patriotic,0.6372549019607843
south united,army of jesus,0.9642857142857143
south united,muslim voice,0.13571428571428573
pan-african roots move,black guns matter,0.685483870967742
pan-african roots move,instagnan,0.0
pan-african roots move,blacktivist,0.625
pan-african roots move,williams&kalvin,0.6761363636363636
pan-african roots move,blackstagram,0.4769585253456221
pan-african roots move,black baptist church,0.5381720430107527
pan-african roots move,woke blacks,0.8924050632911392
pan-african roots move,born black,0.456989247311828
williams&kalvin,black guns matter,0.5653409090909091
williams&kalvin,united muslims of america,0.0
williams&kalvin,instagnan,0.0
williams&kalvin,patriot's heart,0.25
williams&kalvin,blacktivist,0.8548387096774194
williams&kalvin,bernie sanders for president,0.25
williams&kalvin,l for life,0.25
williams&kalvin,blackstagram,0.5198863636363636
williams&kalvin,black baptist church,0.506439393939394
williams&kalvin,southern.rebel.pride,0.0
williams&kalvin,gov spending,0.0
williams&kalvin,woke blacks,0.7244318181818181
williams&kalvin,born black,0.5170454545454546
gov spending,rebeltexas,0.0
gov spending,instagnan,0.0
gov spending,patriot's heart,0.25
gov spending,mericanfury,0.0
gov spending,secured borders,0.0
gov spending,veterans come first,0.0
gov spending,l for life,0.25
gov spending,black baptist church,0.19999999999999998
gov spending,southern.rebel.pride,0.25
gov spending,being patriotic,0.1764705882352941
gov spending,army of jesus,0.0
gov spending,muslim voice,0.0
mericanfury,rebeltexas,0.6666666666666666
mericanfury,instagnan,0.875
mericanfury,black baptist church,0.0
mericanfury,secured borders,0.59375
mericanfury,veterans come first,0.59375
mericanfury,southern.rebel.pride,0.75
mericanfury,being patriotic,0.5294117647058824
mericanfury,army of jesus,0.6153846153846154
mericanfury,muslim voice,0.26666666666666666
army of jesus,rebeltexas,0.5384615384615384
army of jesus,instagnan,0.6538461538461539
army of jesus,black baptist church,0.0
army of jesus,secured borders,0.27884615384615385
army of jesus,veterans come first,0.90625
army of jesus,southern.rebel.pride,0.48717948717948717
army of jesus,being patriotic,0.6274509803921569
army of jesus,muslim voice,0.13846153846153847
born black,black guns matter,0.5253623188405797
born black,united muslims of america,0.0
born black,instagnan,0.0
born black,blacktivist,0.5120967741935484
born black,blackstagram,0.9285714285714286
born black,black baptist church,0.5833333333333334
born black,woke blacks,0.5379746835443038
born black,bernie sanders for president,0.25
muslim voice,rebeltexas,0.6
muslim voice,instagnan,0.675
muslim voice,united muslims of america,1.0
muslim voice,secured borders,0.13125
muslim voice,veterans come first,0.13125
muslim voice,southern.rebel.pride,0.18333333333333335
muslim voice,being patriotic,0.10980392156862745
muslim voice,black baptist church,0.0
black guns matter,instagnan,0.0
black guns matter,blacktivist,0.5463709677419355
black guns matter,blackstagram,0.5590062111801242
black guns matter,black baptist church,0.7159420289855072
black guns matter,southern.rebel.pride,0.10507246376811594
black guns matter,woke blacks,0.6455696202531646
united muslims of america,instagnan,0.225
united muslims of america,blackstagram,0.0
united muslims of america,blacktivist,0.0
united muslims of america,bernie sanders for president,0.25
united muslims of america,woke blacks,0.0
instagnan,rebeltexas,0.625
instagnan,blacktivist,0.0
instagnan,secured borders,0.625
instagnan,blackstagram,0.0
instagnan,black baptist church,0.15833333333333333
instagnan,southern.rebel.pride,0.8333333333333333
instagnan,being patriotic,0.5392156862745098
instagnan,woke blacks,0.0
instagnan,veterans come first,0.625
patriot's heart,l for life,0.5
patriot's heart,black baptist church,0.25
patriot's heart,southern.rebel.pride,0.25
american.veterans,rebeltexas,0.5294117647058824
american.veterans,black baptist church,0.0
