"","X","AdID","AdText","Clicks","Impressions","Age","CreationDate","Location","Interests","AdSpend","AdSpendCurrency","CreationDateInteger","BinAge","BinAdSpend","BinClicks","BinImpressions"
"12",11,332,"A woman pretended Afro-American to gain control over black community association The president of a local NAACP chapter in Spokane, Washington is under investigation after her parents publicly accused her of lying being African American. Both parents of Rachel Dolezal are white. Rachel Dolezal also serves as the chair of Spokane's Office of Police Ombudsman Commission and is an adjunct professor of Africana Studies at Eastern Washington University. Dolezal falsely identified herself as African-American in order to be appointed as a chair. Dolezal's parents paid attention to the official documents, including a birth certificate, confirming that Rachel is part Swedish, Czech, and German with ""traces"" of Native American heritage. We see, how whites are trying to gain control over traditionally black organization that protects the rights and interests of the black community. In the Dolezal's case it is unlikely it was a mistake or personally motivated fraud. Simply she was given a task to join the association of black community in order to control it and hold the interests of white majority. We need a deep inspection of Rachel Dolezal's activities while she was a president of the local branch of the Association of black people! In order not to repeat similar cases in future we need a careful control of all appointments by black community! As it is, there is a dominance of whites in police departments and authorities of cities with a predominantly black population!",47,676,41.5,2015-06-15,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",89.51,"RUB",61515,"mid","low","low","low"
"13",12,333,"2Pac believed in Fight Tupac Shakur was indeed not just one of the greatest rappers of all time but a worldly icon whose status in hip-hop culture can never be replaced. His revolutionary knowledge mixed with street experience made him powerful unstoppable force that spoke to the hearts of millions of people. His songs touch on a number of engaging topics, including religion, women, oppression, etc. 2Pac was a humanitarian, who stood up for those who couldn't stand up for themselves. He believed in Fight and Speaking the Truth. Nowadays a lot of singers, both black and white use their music to sell records, just for making money. American society at all levels became too corruptive, starting from our government and ending with ordinary citizens. On the contrary Tupac did his music to influence the world. That's why he spoke to issues of poverty, oppression and racism. Today young African-Americans have fallen under bad influence of money, drugs and so on. Yeah, it is all started from the government's attitude towards Blacks. But let's remember Tupac and his ability to question the social order. Changes, one of his popular songs, asks everyone to change their lifestyles for better society. He always asked people to share with each other and to learn to love each other.",47,1075,41.5,2015-06-16,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",174.4,"RUB",61615,"mid","low","low","mid"
"14",13,334,"Today we celebrate the legendary rapper who ever lived: Happy B-day, Tupac! The greatest of all time rapper is known not only for his music but for the wise words he spoke and his strength in standing up against oppression. His real name was Lesane Parish Crooks. Shakur was only 25 years old at the time he was shot and killed in 1996. His killer has never been caught. We will never forget 2Pac. Today we remember him on what would've been his 44th Birthday.",10,153,41.5,2015-06-16,"United States: Baltimore Maryland: Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",90.07,"RUB",61615,"mid","low","low","low"
"15",14,335,"It is an American history. African-American citizens sat behind signs like these on city buses.",26,476,41.5,2015-06-16,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",84.15,"RUB",61615,"mid","low","low","low"
"16",15,336,"Americans so much effort to hate each other instead of putting the effort into doing something useful. Stop racism! We all belong to ONE HUMAN RACE.",42,745,41.5,2015-06-17,"United States: Baltimore Maryland: Ferguson, St. Louis Missouri: Cleveland Ohio","unavailable",175.37,"RUB",61715,"mid","low","low","low"
"17",16,337,"No national outrage for an incident at pool party where a black teen was shot to death        Today, the pool party in Georgia is even more shocking than a recent pool party in Texas. A young man from Georgia was shot to death at a pool party at Fayette. It was an advertised on social 200 teenager's pool party which ended up with shootings of unknown assailant for unknown reasons. One of the five injured, a 19-year-old black teenager Clanton passed away on the way to hospital. In fact, the media has not made a transparent effort to cover up the incident. Why the pool party in Georgia is a silent story? Why the police was not aware of a large party? Why this story has no national outrage? Is it ok when a black teenager dies? Unfortunately, the responding police officers were not able to prevent the tragedy. From these facts one might conclude, police officers know the easiest ways to arrest people, but they are irresponsible to avoid the shootings at the average pool party.",23,746,41.5,2015-06-17,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",175.31,"RUB",61715,"mid","low","low","low"
"18",17,338,"A 13-year-old child was tasered by cop for skateboarding        A San Diego sheriff's deputy was filmed tasering 13-year-old child in the spine for skateboarding. Witnesses reported that the cop tried to force them to delete videos from their phones. Videos show how the child writhes in agony from being tased. Police said that the child ran away from home and was missing for a day-and-half. However it doesn't give the reason to taser a child. We see another case of police misconduct, when the policeman actually attacked the child. This case should reach the court, because the child hasn't done anything unlawful. The policeman exceeded his powers and used force against a child. So he should be punished. Before the trial nothing's gonna change and cops are about to do whatever they want. The task of all Americans who have witnessed police brutality is to extend all the information about it in order to reach out the government and the court.",97,1290,41.5,2015-06-17,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",270.36,"RUB",61715,"mid","mid","mid","mid"
"19",18,339,"Only 9 days this year nobody was killed by police        According to data from Mapping Police Violence there are only 9 days this calendar year when nobody was killed by police in the USA. Since January 1, 2015 at least 508 people have now been killed by policemen. Moreover, analyzing all deaths caused by police, African-American and Hispanic people are more likely to be killed than Whites. Figures show that the index of deaths for black people is 3.45 per million, while for whites it is 1.26 per million. Add here military-style equipment and non-lethal weapons, given to cops. And only 0.02 per cent of the nation's police forces are investigated each year. Only 0.02! That means, US policemen are immune from criminal changes in their killings. That's why they carry out their daily police raids to destroy the population at the territories under their control.",55,1005,41.5,2015-06-17,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",248.56,"RUB",61715,"mid","mid","low","low"
"20",19,340,"In early 1900s this Black Americana Chocolate Eyes Ad Art was popular in the USA. They made money from our pain and suffering! Though today we don't see such ads, racism still exists in the American society.",21,844,41.5,2015-06-17,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",169.47,"RUB",61715,"mid","low","low","low"
"21",20,341,"Sadness and shocking tragedy at historically black church in Charlestone *CLICK TO GET LIVE UPDATES ON OUR PAGE* A white gunman opened a fire at pastor and 8 other church members at black church in Charlestone, S.0 on Wednesday night. The young clean-shaved shooter walked in during a prayer meeting and started shooting the people. Charleston Police Chief Greg Mullen said that the incident would be investigated as hate crime. Emanuel AME Church is a historically Africa-American church which was found by Denmark Vesey in order to organize a slave revolt in 1822. Despite the first black American president, Africa-Americans remain the most common victims of hate crimes. But what if the hate crime relates to xenophobia? American xenophobia is based on the dominant white heritage that is giving birth to another form of hate and discrimination. These forms take another level of hate. Unfortunately, American tolerance is not what we think it is. US public is swapping patriotism for nationalism, tolerance for Islamophobia, racism and anti-immigrant sentiment. For instance, last February American gunman killed three young Muslims two miles away from the University of North Carolina campus. Was this gunman motivated by hate and intolerance? Should we expect for more hate-crimes? What if American racial change still occurs through generations? What of it racism happens due to unequal opportunities? What if America is still a deeply racist country? What if the church is not a safe place anymore? #CharlestonShooting #chsnews",274,5072,41.5,2015-06-18,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",1295.48,"RUB",61815,"mid","high","mid","mid"
"22",21,342,"Rachel Dolezal is wearing the other persons shoes. Rachel Dolezal drew attention to her racial identification. A white-born former NAACP leader claimed to be black. The criticism towards Dolezal stems controversy around her identity and her position as the president of the NAACP in Washington. Today. Dolezal sees herself as first transracial. Rachel Dolezal stated that her racial identity was black, American Indian; white and two more races. Moreover if she proves that she is black; than anyone else will be able to prove that he/she is not even a human being. What do you think about her? What kind of rights should she have?",46,866,41.5,2015-06-18,"United States: Baltimore Maryland: Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",199.94,"RUB",61815,"mid","mid","low","low"
"23",22,343,"The violent pool story #3. White police officer slammed black teen against his        car This black family from Ohio will never forget the June 9th. According to the family's testimony, Krystal Dixon and her sister Maya Dixon took their eight children, nephews and nieces to Ohio public school in a Fairfield. Nevertheless, the pool employee demanded the family to leave due to one of the children did not have swim trunks. One of the boys broke the rules and the staff asked the family to leave. As six-months pregnant Krystal Dixon walked to the parking lot, the police officer grabbed her arm and asked for an ID-card. The witness video shows how the police officer pepper sprayed Dixon's family and grabbed 12-year-old child by neck. But according to the Fairfield police department, the white police officer did not use excessive force. Did the pool staff force them to leave because they were black? Was it a race factor? Don't you think the police officer's attempt to arrest Krystal Dixon was unlawful? How the police officers should be charged? What kind of right of defense do you have against unlawful arrests? These days, there is far more to being a ""good cop"" than choosing not to hurt innocent people. Plus, when are we going to stop being stereotypical? Even today, the stereotypes effect black population of the United States of America transmitted through music, lyrics, titles, literature, movies and folk saying. White Americans across the country embrace African-Americans the image of criminals and looters. How are we going to live with that?",31,441,41.5,2015-06-18,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",91.73,"RUB",61815,"mid","low","low","low"
"24",23,344,"What else has to happen for you all to realize black lives matter?",59,708,41.5,2015-06-23,"United States: Baltimore Maryland: Ferguson, St. Louis Missouri: Cleveland Ohio","unavailable",173.92,"RUB",62315,"mid","low","low","low"
"25",24,345,"Thousands Walk Hand In Hand Across Ravenel Bridge To Show Support For Mother Emanuel Church On Sunday evening, hours after Emanuel A.M.E. Church opened its doors for the first service following the killing of nine of its congregants Wednesday, thousands in Charleston took to the streets in a show of support and solidarity. Observers on the bridge, and thousands more at the base, joined hands to create a ""unity chain,"" then held a moment of silence that lasted five minutes in honor of the fallen. Police estimated that 10,000 to 15,000 took part in Sunday's gathering, according to the Post and Courier. Cars drove slowly past the bridge, taking in the sight and honking horns in solidarity as people chanted ""Charleston strong!"" Throughout history people start to unite only when they face danger or when they're in times of great sorrow. Modern America is accustomed to meet only imaginary dangers, however, Americans are getting more and more reasons to sorrow over something day by day. Does it mean that the key to the unity of 330 million Americans is constant fear and unending sorrow? Does it mean that only this can make Americans unite and forget about the infighting and differences? Unfortunately, yes, it does.",48,759,41.5,2015-06-23,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",258.89,"RUB",62315,"mid","mid","low","low"
"26",25,346,"Whatever the white man has done. Black Americans have done, and often even better. Miss Black America in 1969.",65,757,41.5,2015-06-23,"United States: Baltimore Maryland: Ferguson, St. Louis Missouri: Cleveland Ohio","unavailable",174.35,"RUB",62315,"mid","low","low","low"
"27",26,347,"How many of you believe in Black Jesus?        There is quite a big number of people arguing about ethnicity of Jesus Christ. Was Jesus white, olive-skinned or black? The Coptic Museum in Cairo, Egypt owns the earliest painting of Jesus Christ in the Church of Rome (6th century) where skin color of Jesus was black.",57,581,41.5,2015-06-23,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",174.26,"RUB",62315,"mid","low","low","low"
"28",27,348,"Black is beautiful. God knows what he is doing. The Black skin is a glorious symbol of national greatness.",74,796,41.5,2015-06-23,"United States: Baltimore Maryland: Ferguson, St. Louis Missouri: Cleveland Ohio","unavailable",174.02,"RUB",62315,"mid","low","mid","low"
"29",28,349,"A small group of activists burned two confederate flags in response to shooting in Charleston, South Carolina.        Why the symbol of the pro-slavery rebellion is still flying on the ground of South Carolina? Why the symbol of white supremacy is still flying on the South Carolina statehouse in Columbia? Why the flag that represents the murder of blacks was not removed from the national statehouse? The confederate flag represents terrorism, reminding us about the slavery time, racism and people that were murdered in a hate-crime. Today, we ask to remove this symbol of racism that flies 120 miles away from the Emanuel African Methodist Episcopal Church in Charleston. Yes, we must wipe off every single symbol of racism from the United States of America including the confederate flag, KKK and other racist organizations. We must give new names to the streets which were named after racist political figures and slave traders. We must remove monuments dedicated to Andrew Jackson, Robert Lee, Benjamin Huger, James Longstreet who owned slaves on their farms. How can we ever expect to get the racist symbols removed until we show ourselves to be men the same as any other race of men?",23,412,41.5,2015-06-23,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",174.75,"RUB",62315,"mid","low","low","low"
"30",29,356,"Such a beautiful day! Such a beatiful view!",3,162,41.5,2015-06-09,"United States","mixed",18.1,"RUB",60915,"mid","low","low","low"
"31",30,357,"McKinney Police Officer Involved In Pool Party Incident        Eric Casebolt, the McKinney, police officer who was caught on video pinning a teenage girl to the ground and pulling his gun on others at a pool party, has resigned Tuesday evening. The McKinney Police Department, Chief Of Police Greg Conley said that Casebolt's decision to leave was voluntary and that he would continue to collect a pension and benefits. Why are the police so aggressive? It's in every state around the country. The young girl at the pool party was treated horrible. Our society needs police, good police, people who will solve crimes but, unfortunately, today we need someone who will protect us from the police. At the same time, it is good that millions of regular people got a glimpse of what kind of policing minorities have endured for decades.",12,559,41.5,2015-06-10,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",85.25,"RUB",61015,"mid","low","low","low"
"32",31,358,"Say it loud - ""I am Black and I'm proud:""",45,635,41.5,2015-06-10,"United States: Baltimore Maryland: Ferguson, St. Louis Missouri: Cleveland Ohio","unavailable",94.04,"RUB",61015,"mid","low","low","low"
"33",32,360,"Keeping eye on our brother's cases and much more",0,0,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",0,"unavailable",61015,"mid","unavailable","unavailable","unavailable"
"34",33,361,"Keeping eye on our brother's cases and much more",5,82,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",34.66,"RUB",61015,"mid","low","low","low"
"35",34,363,"Keeping eye on our brother's cases and much more",0,0,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",0,"unavailable",61015,"mid","unavailable","unavailable","unavailable"
"36",35,364,"Keeping eye on our brother's cases and much more",2740,46447,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",12858.46,"RUB",61015,"mid","high","high","high"
"37",36,366,"Keeping eye on our brother's cases and much more",0,158,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",50.11,"RUB",61015,"mid","low","unavailable","low"
"38",37,368,"Join us because we care. Black matters.",0,0,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",0,"unavailable",61015,"mid","unavailable","unavailable","unavailable"
"39",38,369,"Join us because we care. Black matters.",3296,56408,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",13704.02,"RUB",61015,"mid","high","high","high"
"40",39,371,"Join us because we care. Black matters.",0,0,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",0,"unavailable",61015,"mid","unavailable","unavailable","unavailable"
"41",40,372,"Join us because we care. Black matters.",1574,26442,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",7018.96,"RUB",61015,"mid","high","high","high"
"42",41,376,"Your life matter.My life matter. Black matters.",0,0,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",0,"unavailable",61015,"mid","unavailable","unavailable","unavailable"
"43",42,377,"Your life matter.My life matter. Black matters.",7,249,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",85.63,"RUB",61015,"mid","low","low","low"
"44",43,379,"Your life matter.My life matter. Black matters.",0,0,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",0,"unavailable",61015,"mid","unavailable","unavailable","unavailable"
"45",44,380,"Your life matter.My life matter. Black matters.",7,207,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",69.56,"RUB",61015,"mid","low","low","low"
"46",45,382,"Your life matter.My life matter. Black matters.",2,157,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",50.16,"RUB",61015,"mid","low","low","low"
"47",46,384,"We really can change the world if we stay united.",0,0,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",0,"unavailable",61015,"mid","unavailable","unavailable","unavailable"
"48",47,385,"We really can change the world if we stay united.",3,66,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",25.87,"RUB",61015,"mid","low","low","low"
"49",48,387,"We really can change the world if we stay united.",0,0,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",0,"unavailable",61015,"mid","unavailable","unavailable","unavailable"
"50",49,388,"We really can change the world if we stay united.",8,311,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",105.62,"RUB",61015,"mid","low","low","low"
"51",50,390,"We really can change the world if we stay united.",4,204,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",65.61,"RUB",61015,"mid","low","low","low"
"52",51,392,"Black matters because everyone's life matters",0,0,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",0,"unavailable",61015,"mid","unavailable","unavailable","unavailable"
"53",52,393,"Black matters because everyone's life matters",2,191,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",56.53,"RUB",61015,"mid","low","low","low"
"54",53,395,"Black matters because everyone's life matters",0,0,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",0,"unavailable",61015,"mid","unavailable","unavailable","unavailable"
"55",54,396,"Black matters because everyone's life matters",7,250,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",83.22,"RUB",61015,"mid","low","low","low"
"56",55,398,"Black matters because everyone's life matters",1,136,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",38.89,"RUB",61015,"mid","low","low","low"
"57",56,400,"We can be heard only when we stand together. Black matters.",0,0,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",0,"unavailable",61015,"mid","unavailable","unavailable","unavailable"
"58",57,401,"We can be heard only when we stand together. Black matters.",4,203,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",74.07,"RUB",61015,"mid","low","low","low"
"59",58,403,"We can be heard only when we stand together. Black matters.",0,0,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",0,"unavailable",61015,"mid","unavailable","unavailable","unavailable"
"60",59,404,"We can be heard only when we stand together. Black matters.",6,248,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",77.74,"RUB",61015,"mid","low","low","low"
"61",60,406,"We can be heard only when we stand together. Black matters.",1,160,41.5,2015-06-10,"United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri","unavailable",45.72,"RUB",61015,"mid","low","low","low"
"62",61,408,"African-American soldiers played a decisive role in the US Army on the western frontier during the Plains Wars, but it's not mentioned in our history books.",60,636,41.5,2015-06-24,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",189.05,"RUB",62415,"mid","mid","low","low"
"63",62,409,"Cornel West on Obama: ""The First Black President Has Become The First Niggerized Black President""        Reacting to President Obama's use of the n-word on Marc Maron's podcast, Cornel West called him the first ""niggerized"" president in an appearance on CNN. West criticized Obama as ""a person who is afraid and intimidated when it comes to putting a spotlight on white supremacy."" ""A niggerized black person is a black person who is afraid and scared and intimidated when it comes to putting a spotlight on white supremacy and fighting against white supremacy,"" West explained. ""So when many of us said we have to fight against racism, what were we told? 'No, he can't deal with racism because he has other issues, political calculations. He's the president of all America, not just black America.' We know he's president of all America but white supremacy is American as cherry pie."" West is right as usual. African minorities would choose Mr. West in 2009 and 2012 instead of Obama. But we had no choice. Cornel is a good leader, he knows what black community is suffering from. Obama was promoted by big corporations owned by white people. Obama never tried to protect blacks from police pressure, never tried to stop police violence against blacks. Just count how many black lives were destroyed during his presidency. The number is horrific.",0,0,41.5,2015-06-24,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",0,"unavailable",62415,"mid","unavailable","unavailable","unavailable"
"64",63,410,"Autopsy Says Freddie Gray Died After Sustaining 'High-Energy Injury' in Police Van        The Baltimore state medical examiner's office has found that Freddie Gray likely died from a single ""high-energy injury"" sustained as he rode shackled in the back of a police van on the day of his arrest, according to an autopsy report obtained by the Baltimore Sun. The autopsy report suggested that Gray may have attempted to stand up during the van ride, and that the injury could have occurred as he was thrown against the van wall when the vehicle changed direction. Like really? When police took Gray to the hospital, doctors determined that he had sustained a severed spine and crushed voice box. High-energy injury? We don't think so. It's hard to believe. Do they think we're idiots or something? Cops imprison you, shoot you, sever your spine, crush your larynx, send you to war, keep you poor, call you a thug and get away with it. There's no excuse for what happened to Freddie.",12,71,41.5,2015-06-24,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",22.75,"RUB",62415,"mid","low","low","low"
"65",64,411,"Ella Baker. The woman behind the scenes. Not many of you will probably be able to recognize Ella Baker, who was a hero of the civil rights Freedom Movement, racial and economic injustice for five decades. Her job was to put together the pieces in order to create a strong organization in the face of racism and injustice. She played a key role in NAACP; Student Nonviolent Coordinating Committee and Martin Luther King's Southern Christian Leadership Conference.",42,332,41.5,2015-06-25,"United States: Baltimore Maryland: Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",81.49,"RUB",62515,"mid","low","low","low"
"66",65,412,"Black Matters",12,215,41.5,2015-06-25,"United States: Baltimore Maryland: Ferguson, St. Louis Missouri: Cleveland Ohio","unavailable",79.57,"RUB",62515,"mid","low","low","low"
"67",66,422,"Philosophy of African-American activist Huey Newton        Huey Newton was an African-American political activist and a leader of generation of black, best known for founding the militant Black Panther Party in 1966. As a child, Newton experienced racial discrimination that influenced him to create the Black Panther Party as a voice of black people. His party grew up to a size of 5,000 full time party workers in 45 branches across America and inspired generation in North America to join the struggle against oppression. But he was shot to death in August 1989.",73,733,41.5,2015-06-23,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio","unavailable",173.41,"RUB",62315,"mid","low","mid","low"
